time,load_shortfall_3h
2018-01-01 00:00:00,7398.530000000003
2018-01-01 03:00:00,2237.9433333333423
2018-01-01 06:00:00,2321.5233333333395
2018-01-01 09:00:00,5091.160000000001
2018-01-01 12:00:00,5572.08333333333
2018-01-01 15:00:00,6213.273333333333
2018-01-01 18:00:00,6363.729999999998
2018-01-01 21:00:00,7467.796666666661
2018-01-02 00:00:00,8801.579999999998
2018-01-02 03:00:00,4863.143333333335
2018-01-02 06:00:00,4296.763333333336
2018-01-02 09:00:00,8581.676666666668
2018-01-02 12:00:00,10285.88
2018-01-02 15:00:00,10459.443333333336
2018-01-02 18:00:00,11682.081666666667
2018-01-02 21:00:00,12123.468333333329
2018-01-03 00:00:00,9244.086666666659
2018-01-03 03:00:00,2907.2700000000023
2018-01-03 06:00:00,2773.2233333333306
2018-01-03 09:00:00,6223.459999999997
2018-01-03 12:00:00,5626.4999999999945
2018-01-03 15:00:00,5726.076666666664
2018-01-03 18:00:00,6036.039999999996
2018-01-03 21:00:00,5874.16
2018-01-04 00:00:00,8526.656666666662
2018-01-04 03:00:00,3535.286666666664
2018-01-04 06:00:00,3087.143333333332
2018-01-04 09:00:00,5797.9066666666695
2018-01-04 12:00:00,5616.173333333335
2018-01-04 15:00:00,5504.026666666664
2018-01-04 18:00:00,5402.9833333333345
2018-01-04 21:00:00,5485.983333333333
2018-01-05 00:00:00,6830.37
2018-01-05 03:00:00,4890.046666666668
2018-01-05 06:00:00,4337.690000000004
2018-01-05 09:00:00,6585.920000000009
2018-01-05 12:00:00,6958.373333333342
2018-01-05 15:00:00,4605.370000000005
2018-01-05 18:00:00,6050.30333333334
2018-01-05 21:00:00,6990.390000000002
2018-01-06 00:00:00,10515.81
2018-01-06 03:00:00,8898.263333333334
2018-01-06 06:00:00,8808.563333333335
2018-01-06 09:00:00,10287.310000000005
2018-01-06 12:00:00,11574.34666666667
2018-01-06 15:00:00,11296.599999999999
2018-01-06 18:00:00,12063.420000000002
2018-01-06 21:00:00,11404.926666666664
2018-01-07 00:00:00,10791.760000000011
2018-01-07 03:00:00,9429.286666666658
2018-01-07 06:00:00,8992.939999999995
2018-01-07 09:00:00,9500.990000000002
2018-01-07 12:00:00,10627.479999999992
2018-01-07 15:00:00,11471.080000000002
